"required",,,,,,,"optional",,"optional",,"optional",,"optional",,"optional","optional","repeated","optional","optional","optional","optional",,"optional",,,"optional","optional",,"optional"
"int32",,,,,,,"int32",,"string",,"string",,"string",,"int32","int32",2,"int32","int32","int32","int32",,"int32",,,"int32","int32",,"string"
"id",,,,,,,"type",,"title",,"desc",,"icon",,"prerequisite","obj_id","obj_param_table","obj_param_table","obj_param_table","obj_amount","display_pattern",,"chest_id",,,"chest_type","task_point",,"page_name"
"任务ID","表示任务","类型","预留","序号1","序号2","序号相关","任务类型
1=人头任务
2=每日任务
3=积分任务
4=成就任务","前端表现","标题","标题","描述","描述","图标","任务目标","前置任务ID","目标ID
1=在竞技场x击杀敌方玩家y次
2=赢得对战x次
3=最大奖杯数达到x
4=本地排行榜达到x名
5=首次更换头像
101=生成小炸弹x次
102=生成大炸弹x次
201=生成横排火箭x次
202=生成竖排火箭x次
203=生成十字火箭x次
204=生成彩色十字火箭x次
301=生成迪斯科球x次",,"目标参数1","目标参数2","数量","进度条数量显示模式
0=真实数量
1=固定0/1","成就奖励","宝箱id",,"任务奖励","宝箱类型","任务积分","成就跳转界面","成就跳转界面"
121000101,12,1,0,1,1,,1,,D_TaskTitle1,"杀手",D_TaskDesc1,"在任意竞技场击杀敌方英雄{0}次","C0ic063",,,1,1,-1,,30,0,,,,,106,0,,
124000101,12,4,0,1,1,,4,,D_TaskTitle2,"巅峰时刻",D_TaskDesc2,"在任意竞技场获胜{0}次","C0ic063",,0,2,0,,,8,0,,112020001,"暗夜精灵",,,,,"SelectArenaPanel"
124000102,12,4,0,1,2,,4,,D_TaskTitle2,"巅峰时刻",D_TaskDesc2,"在任意竞技场获胜{0}次","C0ic063",,124000101,2,0,,,25,0,,113020200,"钻石",,,,,"SelectArenaPanel"
124000103,12,4,0,1,3,,4,,D_TaskTitle2,"巅峰时刻",D_TaskDesc2,"在任意竞技场获胜{0}次","C0ic063",,124000102,2,0,,,75,0,,113020300,"钻石",,,,,"SelectArenaPanel"
124000104,12,4,0,1,4,,4,,D_TaskTitle2,"巅峰时刻",D_TaskDesc2,"在任意竞技场获胜{0}次","C0ic063",,124000103,2,0,,,200,0,,113020400,"钻石",,,,,"SelectArenaPanel"
124000105,12,4,0,1,5,,4,,D_TaskTitle2,"巅峰时刻",D_TaskDesc2,"在任意竞技场获胜{0}次","C0ic063",,124000104,2,0,,,1000,0,,113020500,"钻石",,,,,"SelectArenaPanel"
124000201,12,4,0,2,1,,4,,D_TaskTitle3,"奖杯收集者",D_TaskDesc3,"最大奖杯数达到{0}","C0ic063",,0,3,0,,,8,0,,112020002,"火女*10",,,,,"SelectArenaPanel"
124000202,12,4,0,2,2,,4,,D_TaskTitle3,"奖杯收集者",D_TaskDesc3,"最大奖杯数达到{0}","C0ic063",,124000201,3,0,,,100,0,,112020003,"炼金狂魔",,,,,"SelectArenaPanel"
124000203,12,4,0,2,3,,4,,D_TaskTitle3,"奖杯收集者",D_TaskDesc3,"最大奖杯数达到{0}","C0ic063",,124000202,3,0,,,300,0,,113020200,"钻石",,,,,"SelectArenaPanel"
124000204,12,4,0,2,4,,4,,D_TaskTitle3,"奖杯收集者",D_TaskDesc3,"最大奖杯数达到{0}","C0ic063",,124000203,3,0,,,600,0,,113020300,"钻石",,,,,"SelectArenaPanel"
124000205,12,4,0,2,5,,4,,D_TaskTitle3,"奖杯收集者",D_TaskDesc3,"最大奖杯数达到{0}","C0ic063",,124000204,3,0,,,900,0,,113020400,"钻石",,,,,"SelectArenaPanel"
124000301,12,4,0,3,1,,4,,D_TaskTitle4,"冠军",D_TaskDesc4,"本地排行榜达到第{0}名","C0ic063",,0,4,0,,,35,1,,113020100,"钻石",,,,,"PVPRankListPanel"
124000302,12,4,0,3,2,,4,,D_TaskTitle4,"冠军",D_TaskDesc4,"本地排行榜达到第{0}名","C0ic063",,124000201,4,0,,,25,1,,113020200,"钻石",,,,,"PVPRankListPanel"
124000303,12,4,0,3,3,,4,,D_TaskTitle4,"冠军",D_TaskDesc4,"本地排行榜达到第{0}名","C0ic063",,124000202,4,0,,,15,1,,113020300,"钻石",,,,,"PVPRankListPanel"
124000304,12,4,0,3,4,,4,,D_TaskTitle4,"冠军",D_TaskDesc4,"本地排行榜达到第{0}名","C0ic063",,124000203,4,0,,,5,1,,113020400,"钻石",,,,,"PVPRankListPanel"
124000305,12,4,0,3,5,,4,,D_TaskTitle4,"冠军",D_TaskDesc4,"本地排行榜达到第{0}名","C0ic063",,124000204,4,0,,,1,1,,112020004,"青龙武圣",,,,,"PVPRankListPanel"
124000401,12,4,0,4,1,,4,,D_TaskTitle5,"更换头像",D_TaskDesc5,"更换一次头像","C0ic063",,124000204,5,0,,,1,0,,113020100,"钻石",,,,,"PVPUserInfoPanel"
